query,intent
What was my step count like last 3 days?,get_history
What values did my temperature have last week?,get_history
Compare active time values: this week vs the previous week,compare
Tell me about my vo2 over today,get_history
How was my sleep this year?,get_history
Show me comparison of sleep length for today and yesterday,compare
What activity do you recommend?,advice
How can I make my avg temp better?,advice
How do I get a higher deep sleep minutes?,advice
Recovery advice?,advice
Get my recovery index,get_current
What made my skin temperature decrease over this week?,advice
What's my current sleep time?,get_current
What's the difference in sleep quality percentage between this week and the previous week?,compare
Tell me the deep sleep minutes trend the last couple of weeks,get_history
Can you tell me my hours slept?,get_current
Tell me if my rem sleep improved from previous 7 days to last 7 days,compare
Show me today's deep sleep,get_current
Get my active minutes,get_current
How does my movement index compare between last week and the week before?,compare
